ID,Dataset Train,Dataset Test,Protection Train,Protection Test,Epsilon Train,Epsilon Test,M Train,M Test,Done,Todo
1,TDRIVE,TDRIVE,CNOISE,CNOISE,0.01,0.01,16500,16500,TRUE,FALSE
2,TDRIVE,TDRIVE,CNOISE,CNOISE,0.1,0.1,16500,16500,TRUE,FALSE
3,TDRIVE,TDRIVE,CNOISE,CNOISE,1,1,16500,16500,TRUE,FALSE
4,TDRIVE,TDRIVE,CNOISE,CNOISE,10,10,16500,16500,TRUE,FALSE
5,TDRIVE,TDRIVE,CNOISE,CNOISE,100,100,16500,16500,TRUE,FALSE
6,TDRIVE,TDRIVE,SDD,SDD,0.01,0.01,16500,16500,TRUE,FALSE
7,TDRIVE,TDRIVE,SDD,SDD,0.1,0.1,16500,16500,TRUE,FALSE
8,TDRIVE,TDRIVE,SDD,SDD,1,1,16500,16500,TRUE,FALSE
9,TDRIVE,TDRIVE,SDD,SDD,10,10,16500,16500,TRUE,FALSE
10,GEOLIFE,GEOLIFE,CNOISE,CNOISE,0.01,0.01,16500,16500,TRUE,FALSE
11,GEOLIFE,GEOLIFE,CNOISE,CNOISE,0.1,0.1,16500,16500,TRUE,FALSE
12,GEOLIFE,GEOLIFE,CNOISE,CNOISE,1,1,16500,16500,TRUE,FALSE
13,GEOLIFE,GEOLIFE,CNOISE,CNOISE,10,10,16500,16500,TRUE,FALSE
14,GEOLIFE,GEOLIFE,CNOISE,CNOISE,100,100,16500,16500,TRUE,FALSE
15,GEOLIFE,GEOLIFE,SDD,SDD,0.01,0.01,16500,16500,TRUE,FALSE
16,GEOLIFE,GEOLIFE,SDD,SDD,0.1,0.1,16500,16500,TRUE,FALSE
17,GEOLIFE,GEOLIFE,SDD,SDD,1,1,16500,16500,TRUE,FALSE
18,GEOLIFE,GEOLIFE,SDD,SDD,10,10,16500,16500,TRUE,FALSE
19,TDRIVE,GEOLIFE,CNOISE,CNOISE,1,1,16500,16500,TRUE,FALSE
20,TDRIVE,GEOLIFE,CNOISE,CNOISE,10,10,16500,16500,TRUE,FALSE
21,TDRIVE,GEOLIFE,SDD,SDD,0.1,0.1,16500,16500,TRUE,FALSE
22,TDRIVE,GEOLIFE,SDD,SDD,1,1,16500,16500,TRUE,FALSE
23,GEOLIFE,TDRIVE,CNOISE,CNOISE,1,1,16500,16500,TRUE,FALSE
24,GEOLIFE,TDRIVE,CNOISE,CNOISE,10,10,16500,16500,TRUE,FALSE
25,GEOLIFE,TDRIVE,SDD,SDD,0.1,0.1,16500,16500,TRUE,FALSE
26,GEOLIFE,TDRIVE,SDD,SDD,1,1,16500,16500,TRUE,FALSE
27,TDRIVE,TDRIVE,CNOISE,CNOISE,1,10,16500,16500,TRUE,FALSE
28,TDRIVE,TDRIVE,CNOISE,CNOISE,10,1,16500,16500,TRUE,FALSE
29,TDRIVE,TDRIVE,SDD,SDD,0.1,1,16500,16500,TRUE,FALSE
30,TDRIVE,TDRIVE,SDD,SDD,1,0.1,16500,16500,TRUE,FALSE
31,TDRIVE,TDRIVE,CNOISE,SDD,1,1,16500,16500,TRUE,FALSE
32,TDRIVE,TDRIVE,SDD,CNOISE,1,1,16500,16500,TRUE,FALSE
33,TDRIVE,GEOLIFE,CNOISE,SDD,1,0.1,16500,16500,TRUE,FALSE
34,GEOLIFE,TDRIVE,SDD,CNOISE,0.1,1,16500,16500,TRUE,FALSE
35,TDRIVE,GEOLIFE,SDD,CNOISE,1,0.1,16500,16500,TRUE,FALSE
36,GEOLIFE,TDRIVE,CNOISE,SDD,0.1,1,16500,16500,TRUE,FALSE
